SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
0.028346786,1636350597,25,-57,-4,62.36986452
0.059596786,1636350598,23,-57,-4,61.59545438
0.090846786,1636350598,23,-59,-6,63.60817558
0.122096786,1636350598,22,-59,-6,63.2534584
0.153346786,1636350598,23,-60,-6,64.5368112
0.184596786,1636350598,24,-59,-5,63.89053138
0.3408568,1636350598,23,-60,-3,64.32728814
0.3721068,1636350598,24,-60,-1,64.62971453
0.528366814,1636350598,18,-62,-2,64.59102105
0.559616814,1636350598,17,-60,-7,62.75348596
0.715876827,1636350598,22,-64,-5,67.86015031
0.747126827,1636350598,20,-63,-5,66.28725368
0.778376827,1636350598,15,-61,-4,62.94441993
0.809626827,1636350598,15,-62,0,63.78871374
0.840876827,1636350598,15,-63,0,64.76109943
0.872126827,1636350598,16,-65,-2,66.9701426
0.903386841,1636350598,18,-65,-3,67.51296172
0.934636841,1636350598,20,-64,-5,67.2383819
0.965886841,1636350598,16,-61,-7,63.45076832
0.997136841,1636350598,15,-58,-6,60.20797289
1.028386841,1636350598,18,-54,-5,57.14017851
1.059636841,1636350599,19,-53,-4,56.44466317
1.090896854,1636350599,22,-55,-4,59.37171044
1.122146854,1636350599,27,-61,-3,66.7757441
1.278396854,1636350599,18,-54,-1,56.92978131
1.309656868,1636350599,17,-51,0,53.75872022
1.340906868,1636350599,20,-51,0,54.7813837
1.372156868,1636350599,23,-52,-2,56.89463947
1.403406868,1636350599,25,-53,-1,58.60887305
1.434656868,1636350599,30,-59,2,66.21933252
1.465906868,1636350599,32,-63,1,70.66823898
1.497156868,1636350599,29,-72,-2,77.64663547
1.684666882,1636350599,-6,-62,-5,62.4899992
1.715916882,1636350599,-4,-64,-8,64.62197769
1.747176657,1636350599,7,-67,-7,67.72739475
1.778426657,1636350599,20,-71,-5,73.93240156
1.809676657,1636350599,24,-71,-5,75.11324783
1.840926657,1636350599,23,-66,-7,70.24243732
1.872176657,1636350599,21,-62,-6,65.73431372
1.99718667,1636350599,24,-50,-4,55.6057551
2.02843667,1636350599,25,-50,-3,55.98214001
2.05968667,1636350600,26,-51,-7,57.67148342
2.09093667,1636350600,31,-51,-3,59.75784467
2.12218667,1636350600,33,-53,-1,62.44197306
2.15343667,1636350600,32,-56,0,64.49806199
2.184696684,1636350600,30,-56,0,63.5295207
2.215946684,1636350600,25,-51,0,56.79788728
2.247196684,1636350600,24,-51,-1,56.37375276
2.278446684,1636350600,23,-54,-4,58.83026432
2.309696684,1636350600,23,-57,-6,61.75759063
2.340946684,1636350600,33,-58,-5,66.9178601
2.372196684,1636350600,37,-62,-3,72.26340706
2.403456697,1636350600,35,-62,8,71.64495795
2.434706697,1636350600,27,-68,15,74.6860094
2.590956697,1636350600,10,-56,-13,58.35237784
2.622216711,1636350600,20,-48,-8,52.61178575
2.778466711,1636350600,25,-61,-9,66.5357047
2.809716711,1636350600,19,-60,-9,63.5767253
2.965976725,1636350600,17,-45,-4,48.27007354
2.997226725,1636350600,17,-42,-2,45.35416188
3.028476725,1636350600,17,-36,2,39.86226286
3.059736738,1636350601,18,-37,4,41.34005322
3.090986738,1636350601,17,-39,4,42.73172124
3.122236738,1636350601,17,-39,2,42.59107888
3.153486738,1636350601,20,-37,5,42.35563717
3.184736738,1636350601,25,-37,14,46.79743583
3.215986738,1636350601,21,-45,9,50.46781152
3.247236738,1636350601,16,-50,5,52.73518749
3.278496752,1636350601,13,-60,13,62.75348596
3.309746752,1636350601,17,-66,7,68.51277253
3.340996752,1636350601,18,-76,-13,79.17701687
3.372246752,1636350601,34,-84,2,90.64215355
3.403496752,1636350601,36,-82,17,91.15371633
3.434746752,1636350601,18,-57,-25,64.79197481
3.465996752,1636350601,35,-65,3,73.88504585
3.497256765,1636350601,47,-69,8,83.86894539
3.528506765,1636350601,47,-68,-4,82.75868534
3.559756765,1636350601,45,-64,-1,78.24321057
3.591006765,1636350601,48,-60,10,77.48548251
3.622256765,1636350601,40,-61,16,74.6793144
3.653506765,1636350601,37,-65,16,76.4852927
3.684766779,1636350601,36,-68,20,79.49842766
3.716016779,1636350601,36,-67,21,78.90500618
3.747266779,1636350601,33,-66,16,75.50496672
3.934776793,1636350601,52,-6,22,56.78027827
3.966026793,1636350601,64,-10,28,70.56911506
3.997276793,1636350601,77,-37,40,94.32921075
4.028526793,1636350601,58,-39,44,82.58934556
4.059776793,1636350602,43,-42,26,65.49045732
4.091026793,1636350602,26,-44,20,54.88169094
4.122286806,1636350602,30,-45,25,59.58187644
4.153536806,1636350602,39,-49,32,70.32780389
4.184786806,1636350602,38,-53,15,66.9178601
4.216036806,1636350602,35,-54,2,64.38167441
4.247286806,1636350602,35,-35,-4,49.65883607
4.278536806,1636350602,40,-32,3,51.31276644
4.309786806,1636350602,44,-41,5,60.34898508
4.43479682,1636350602,40,-50,7,64.41273166
4.46604682,1636350602,34,-65,10,74.03377608
4.49729682,1636350602,34,-68,12,76.96752562
4.653556833,1636350602,27,-63,9,69.13031173
4.684806833,1636350602,29,-61,12,68.60029154
4.841066847,1636350602,21,-49,17,55.95533933
4.872316847,1636350602,25,-44,20,54.41507144
