SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
-0.265182257,1631513806,-34,-57,8,66.85057965
-0.233932257,1631513806,-32,-57,11,66.28725368
-0.202682257,1631513806,-35,-54,12,65.4599114
-0.171432257,1631513806,-38,-51,11,64.54455825
-0.140182257,1631513806,-34,-49,11,60.6465168
-0.108922243,1631513806,-33,-49,11,60.09159675
0.047327757,1631513807,-36,-50,-2,61.64414003
0.07858777,1631513807,-40,-50,-4,64.15605973
0.23483777,1631513807,-41,-53,-6,67.27555277
0.26608777,1631513807,-39,-53,-4,65.9241989
0.422347784,1631513807,-40,-45,-4,60.34069937
0.453597784,1631513807,-38,-45,-5,59.11006682
0.578607798,1631513807,-36,-44,-9,57.55866572
0.609857798,1631513807,-38,-44,-11,59.16924877
0.641107798,1631513807,-38,-45,-13,60.3158354
0.766117811,1631513807,-43,-49,-9,65.81033354
0.797367811,1631513807,-45,-46,-9,64.97691898
0.828617811,1631513807,-45,-46,-11,65.28399498
0.953627825,1631513808,-40,-49,-10,64.03905059
0.984877825,1631513808,-38,-47,-8,60.9672043
1.016127825,1631513808,-41,-47,-9,63.01587102
1.172387838,1631513808,-41,-49,-7,64.27285586
1.203637838,1631513808,-39,-48,-6,62.13694553
1.328637838,1631513808,-38,-48,-6,61.514226
1.359887838,1631513808,-39,-49,-5,62.8251542
1.391147852,1631513808,-40,-48,-5,62.68173578
1.547397852,1631513808,-36,-49,-10,61.61980201
1.578647852,1631513808,-37,-51,-17,65.2610144
1.703657866,1631513808,-39,-51,-17,66.41535967
1.734907866,1631513808,-39,-50,-17,65.65059025
1.766157866,1631513808,-38,-50,-16,64.80740698
1.922417879,1631513809,-36,-51,-15,64.20280368
1.953667879,1631513809,-36,-50,-14,63.182276
2.078677893,1631513809,-34,-50,-15,62.29767251
2.109927893,1631513809,-34,-51,-14,62.87288764
2.141177893,1631513809,-35,-52,-15,64.45153218
2.266187906,1631513809,-33,-51,-14,62.3377895
2.297437906,1631513809,-39,-49,-10,63.41923998
2.328687906,1631513809,-38,-49,-11,62.97618598
2.45369792,1631513809,-35,-52,-12,63.82005954
2.48494792,1631513809,-35,-52,-12,63.82005954
2.51619792,1631513809,-36,-52,-12,64.37390776
2.64119792,1631513809,-37,-50,-10,63.0
2.672457933,1631513809,-38,-50,-13,64.13267498
2.703707933,1631513809,-37,-51,-14,64.54455825
2.859957933,1631513809,-38,-47,-11,61.43289021
2.891217709,1631513809,-41,-47,-13,63.71028174
3.016217709,1631513810,-46,-51,-6,68.94200461
3.047467709,1631513810,-45,-50,-7,67.63135368
3.078717709,1631513810,-37,-49,-6,61.69278726
3.109977722,1631513810,-35,-48,-5,59.61543424
3.141227722,1631513810,-38,-50,-11,63.75735252
3.172477722,1631513810,-33,-50,-12,61.09828148
3.203727722,1631513810,-32,-51,-12,61.39218191
3.234977722,1631513810,-34,-50,-12,61.64414003
3.266227722,1631513810,-35,-48,-8,59.94163828
3.453737736,1631513810,-37,-44,-9,58.1893461
3.609997749,1631513810,-39,-54,-20,69.5485442
3.641247749,1631513810,-40,-55,-15,69.64194139
3.797507763,1631513810,-38,-56,-11,68.56383887
3.828757763,1631513810,-43,-59,-14,74.33707016
3.985017776,1631513811,-19,-46,5,50.019996
4.016267776,1631513811,-34,-46,-8,57.75811631
4.141267776,1631513811,-29,-45,-1,53.54437412
4.172517776,1631513811,-27,-50,-1,56.83308895
4.20377779,1631513811,-30,-55,-1,62.65780079
4.36002779,1631513811,-40,-52,-9,66.21933252
4.39127779,1631513811,-37,-47,5,60.02499479
4.516287804,1631513811,-38,-55,-4,66.9701426
4.547537804,1631513811,-41,-54,-2,67.83067153
4.578787804,1631513811,-44,-51,4,67.47592163
4.610037804,1631513811,-27,-52,14,60.24118193
4.641297817,1631513811,-29,-52,14,61.16371473
4.672547817,1631513811,-41,-53,10,67.74953874
4.703797817,1631513811,-41,-51,11,66.3551053
4.735047817,1631513811,-33,-49,10,59.91660872
4.766297817,1631513811,-27,-50,11,57.87918451
4.797547817,1631513811,-24,-51,16,58.5918083
4.828807831,1631513811,-29,-52,13,60.94259594
4.860057831,1631513811,-27,-52,17,61.00819617
4.891307831,1631513811,-30,-52,18,62.67375846
4.922557831,1631513812,-30,-52,24,64.6529195
4.953807831,1631513812,-31,-54,23,66.3777071
4.985057831,1631513812,-30,-57,24,68.73863542
5.016307831,1631513812,-30,-57,25,69.09413868
5.047567844,1631513812,-29,-55,24,66.64833081
5.078817844,1631513812,-29,-53,24,65.00769185
5.110067844,1631513812,-28,-50,24,62.12889827
5.141317844,1631513812,-27,-50,25,62.08059278
5.297577858,1631513812,-29,-51,23,63.01587102
5.328827858,1631513812,-32,-52,24,65.60487787
5.453827858,1631513812,-28,-51,23,62.56196928
5.485087872,1631513812,-29,-49,24,61.78996682
5.516337872,1631513812,-31,-48,24,61.97580173
5.672587872,1631513812,-31,-48,24,61.97580173
5.703847885,1631513812,-33,-49,24,63.76519427
5.860097885,1631513812,-30,-50,23,62.68173578
5.891347885,1631513812,-31,-50,22,62.80923499
6.047607899,1631513813,-31,-49,22,62.01612693
6.078857899,1631513813,-31,-49,22,62.01612693
6.203867912,1631513813,-31,-50,22,62.80923499
6.235117912,1631513813,-27,-50,22,60.93439095
6.266367912,1631513813,-30,-49,19,60.51446108
6.391377926,1631513813,-40,-56,5,69.0
