SGTime,Performance
89.28434,1
89.52249,1
89.75648,1
89.99128,1
90.22253,1
90.45765,1
90.69316,1
90.92712,1
91.16312,1
91.40588,1
91.64758,1
91.88525,1
92.12231,1
92.35662,1
92.59295,1
92.85978,1
93.09615,1
93.3371,1
93.575,1
93.80898,1
94.04453,1
94.27911,1
94.51877,1
94.7579,1
94.99776,1
95.23669,1
95.47614,1
95.71513,1
95.9539,1
96.19627,1
96.43594,1
96.67944,1
96.91998,1
97.16061,1
97.40209,1
97.64413,1
97.88689,1
98.13015,1
98.37463,1
98.61944,1
98.865,1
99.11301,1
99.36243,1
99.60822,1
99.85365,1
100.0998,1
100.3764,1
100.6264,1
100.8768,1
101.1296,1
101.3775,1
101.6281,1
101.8756,1
102.1253,1
102.3746,1
102.6255,1
102.8736,1
103.1254,1
103.3745,1
103.6286,1
103.8771,1
104.1297,1
104.3759,1
104.6323,1
104.8825,1
105.1389,1
105.3882,1
105.6409,1
105.8913,1
106.1447,1
106.3942,1
106.6468,1
106.8972,1
107.1514,1
107.4069,1
107.6623,1
107.9142,1
108.1965,1
108.449,1
108.7054,1
108.96,1
109.2197,1
109.4759,1
109.7344,1
109.9962,1
110.2569,1
110.5188,1
110.7834,1
111.0432,1
111.3078,1
111.5659,1
111.8253,1
112.0836,1
112.3426,1
112.6031,1
112.8647,1
113.125,1
113.3981,1
113.6698,1
113.9418,1
114.2153,1
114.4933,1
114.7724,1
115.05,1
115.3285,1
115.6149,1
115.9002,1
116.2145,1
116.4989,1
116.7836,1
117.0638,1
117.3509,1
117.6325,1
117.9169,1
118.1987,1
118.4821,1
118.7649,1
119.0507,1
119.3403,1
119.6215,1
119.9024,1
120.1885,1
120.473,1
120.7522,1
121.0344,1
121.3169,1
121.5937,1
121.8844,1
122.1764,1
122.4676,1
122.7532,1
123.0496,1
123.3422,1
123.6256,1
123.8992,1
124.1852,1
124.4747,1
124.7963,1
125.0678,1
125.3492,1
125.6241,1
125.9017,1
126.1795,1
126.4627,1
126.7391,1
127.0203,1
127.3004,1
127.5854,1
127.8689,1
128.1548,1
128.4382,1
128.7239,1
129.0103,1
129.2948,1
129.5773,1
129.8587,1
