SGTime,Gaze
0.06666667,1
0.1,1
0.1166667,1
0.1333333,1
0.1666667,1
0.1833333,1
0.2,1
0.2333333,1
0.25,1
0.2666667,1
0.2833333,1
0.3,1
0.3166667,1
0.3333333,1
0.35,1
0.3666667,1
0.4,1
0.4166667,1
0.4333333,1
0.45,1
0.4666667,1
0.4833333,1
0.5,1
0.5166667,1
0.5333334,1
0.55,1
0.5666667,1
0.5833333,1
0.6166667,1
0.6333333,1
0.65,1
0.6666667,1
0.7,1
0.7166666,1
0.7333333,1
0.75,1
0.7666667,1
0.7833334,1
0.8,1
0.8333333,1
0.85,1
0.8666667,1
0.8833333,1
0.9,1
0.9166667,1
0.9333333,1
0.95,1
0.9666666,1
0.9833333,1
1.016667,1
1.05,1
1.083333,1
1.116667,1
1.133333,1
1.166667,1
1.2,1
1.216667,1
1.233333,1
1.25,1
1.266667,1
1.283333,1
1.3,1
1.333333,1
1.35,1
1.366667,1
1.383333,1
1.416667,1
1.433333,1
1.45,1
1.483333,1
1.5,1
1.516667,1
1.55,1
1.583333,1
1.6,1
1.616667,1
1.65,1
1.683333,1
1.7,1
1.716667,1
1.733333,1
1.766667,1
1.783333,1
1.8,1
1.816667,1
1.85,1
1.866667,1
1.883333,1
1.916667,1
1.933333,1
1.95,1
1.966667,1
2.0,1
2.016667,1
2.05,1
2.066667,1
2.083333,1
2.1,1
2.116667,1
2.133333,1
2.15,1
2.166667,1
2.183333,1
2.2,1
2.216667,1
2.25,1
2.283333,1
2.3,1
2.333333,1
2.35,1
2.366667,1
2.383333,1
2.416667,1
2.433333,1
2.45,1
2.466667,1
2.483333,1
2.5,1
2.516667,1
2.533333,1
2.55,1
2.566667,1
2.583333,1
2.616667,1
2.65,1
2.666667,1
2.683333,1
2.7,1
2.716667,1
2.733333,1
2.766667,1
2.783333,1
2.8,1
2.816667,1
2.833333,1
2.85,1
2.866667,1
2.883333,1
2.9,1
2.916667,1
2.933333,1
2.95,1
2.966667,1
2.983333,1
3.0,1
3.016667,1
3.033333,1
3.05,1
3.066667,1
3.083333,1
3.1,1
3.116667,1
3.133333,1
3.15,1
3.166667,1
3.183333,1
3.2,1
3.216667,1
3.233333,1
3.25,1
3.266667,1
3.283333,1
3.3,1
3.316667,1
3.333333,1
