SGTime,Gaze
2.72,1
2.76,1
2.8,1
2.84,1
2.88,1
2.92,1
2.96,1
3.0,1
3.04,1
3.08,1
3.12,1
3.16,1
3.2,1
3.24,1
3.28,1
3.32,1
3.36,1
3.4,1
3.44,1
3.48,1
3.52,1
3.56,1
3.6,1
3.64,1
3.68,1
3.72,1
3.76,1
3.8,1
3.84,1
3.88,1
3.92,1
3.96,1
4.0,0
4.04,0
4.08,0
4.12,0
4.16,0
4.2,0
4.24,0
4.28,0
4.32,0
4.36,0
4.4,0
4.44,0
4.48,0
4.52,0
4.56,1
4.6,1
4.64,1
4.68,1
4.72,1
4.76,1
4.8,1
4.84,1
4.88,1
4.92,1
4.96,1
5.0,1
5.04,1
5.08,1
5.12,1
5.16,1
5.2,1
5.24,1
5.28,1
5.32,1
5.36,1
5.4,1
5.44,1
5.48,1
5.52,1
5.56,1
5.6,1
5.64,1
5.68,1
5.72,1
5.76,1
5.8,1
5.84,1
5.88,1
5.92,1
5.96,1
6.0,1
6.04,1
6.08,1
6.12,1
6.16,1
6.2,1
6.24,1
6.28,1
6.32,1
6.36,1
6.4,1
6.44,1
6.48,1
6.52,1
6.56,1
6.6,1
6.64,1
6.68,1
6.72,1
6.76,1
6.8,1
6.84,1
6.88,1
6.92,1
6.96,1
7.0,1
7.04,1
7.08,1
7.12,1
7.16,1
7.2,1
7.24,1
7.28,1
7.32,1
7.36,1
7.4,1
7.44,1
7.48,1
7.52,1
7.56,1
7.6,1
7.64,1
7.68,1
7.72,1
7.76,1
7.8,1
7.84,1
7.88,1
7.92,1
7.96,1
8.0,1
8.04,1
8.08,1
8.12,1
8.16,1
8.2,1
8.24,1
8.28,1
8.32,1
8.36,1
8.4,1
8.44,1
8.48,1
8.52,1
8.56,1
8.6,1
8.64,1
8.68,1
8.72,1
8.76,1
8.8,1
8.84,1
8.88,1
8.92,1
8.96,1
9.0,1
9.04,1
9.08,1
9.12,1
9.16,1
9.2,1
9.24,1
9.28,1
9.32,1
9.36,1
9.4,1
9.44,1
9.48,1
9.52,1
9.56,1
9.6,1
9.64,1
9.68,1
9.72,1
9.76,1
9.8,1
9.84,1
9.88,1
9.92,1
9.96,1
10.0,1
10.04,1
10.08,1
10.12,1
10.16,1
10.2,1
10.24,1
10.28,1
10.32,1
10.36,1
10.4,1
10.44,1
10.48,1
10.52,1
10.56,1
10.6,1
10.64,1
10.68,1
10.72,1
10.76,1
10.8,1
10.84,1
10.88,1
10.92,1
10.96,1
11.0,1
11.04,1
11.08,1
11.12,1
11.16,1
11.2,1
11.24,1
11.28,1
11.32,1
11.36,1
11.4,1
11.44,1
11.48,1
11.52,1
11.56,1
11.6,1
11.64,1
11.68,1
11.72,1
11.76,1
11.8,1
11.84,1
11.88,1
11.92,1
11.96,1
12.0,1
12.04,1
12.08,1
12.12,1
12.16,1
12.2,1
12.24,1
12.28,1
12.32,1
12.36,1
12.4,1
12.44,1
12.48,1
12.52,1
12.56,1
12.6,1
12.64,1
12.68,1
12.72,1
12.76,1
12.8,1
12.84,1
12.88,1
12.92,1
12.96,1
13.0,1
13.04,1
13.08,1
13.12,1
13.16,1
13.2,1
13.24,1
13.28,1
13.32,1
13.36,1
13.4,1
13.44,1
13.48,1
13.52,1
13.56,1
13.6,1
13.64,1
13.68,1
13.72,1
13.76,1
13.8,1
13.84,1
13.88,1
13.92,1
13.96,1
14.0,1
14.04,1
14.08,1
14.12,1
14.16,1
14.2,1
14.24,1
14.28,1
14.32,1
14.36,1
14.4,1
14.44,1
14.48,1
14.52,1
14.56,1
14.6,1
14.64,1
14.68,1
14.72,1
14.76,1
14.8,1
14.84,1
14.88,1
14.92,1
14.96,1
15.0,1
15.04,1
15.08,1
15.12,1
15.16,1
15.2,1
15.24,1
15.28,1
15.32,1
15.36,1
15.4,1
15.44,1
15.48,1
15.52,1
15.56,1
15.6,1
15.64,1
15.68,1
15.72,1
15.76,1
15.8,1
15.84,1
15.88,1
15.92,1
15.96,1
16.0,1
16.04,1
16.08,1
16.12,1
16.16,1
16.2,1
16.24,1
16.28,1
16.32,1
16.36,1
16.4,1
16.44,1
16.48,1
16.52,1
16.56,1
16.6,1
16.64,1
16.68,1
16.72,1
16.76,1
16.8,1
16.84,1
16.88,1
16.92,1
16.96,1
17.0,1
17.04,1
17.08,1
17.12,1
17.16,1
17.2,1
17.24,1
17.28,1
17.32,1
17.36,1
17.4,1
17.44,1
17.48,1
17.52,1
17.56,1
17.6,1
17.64,1
17.68,1
17.72,1
17.76,1
17.8,1
17.84,1
17.88,1
17.92,1
17.96,1
18.0,1
18.04,1
18.08,1
18.12,1
18.16,1
18.2,1
18.24,1
18.28,1
18.32,1
18.36,1
18.4,1
18.44,1
18.48,1
18.52,1
18.56,1
18.6,1
18.64,1
18.68,1
18.72,1
18.76,1
18.8,1
18.84,1
18.88,1
18.92,1
18.96,1
19.0,1
19.04,1
19.08,1
19.12,1
19.16,1
19.2,1
19.24,1
19.28,1
19.32,1
19.36,1
19.4,1
19.44,1
19.48,1
19.52,1
19.56,1
19.6,1
19.64,1
19.68,1
19.72,1
19.76,1
19.8,1
19.84,1
19.88,1
19.92,1
19.96,1
20.0,1
20.04,1
20.08,1
20.12,1
20.16,1
20.2,1
20.24,1
20.28,1
20.32,1
20.36,1
20.4,1
20.44,1
20.48,1
20.52,1
20.56,1
20.6,1
20.64,1
20.68,1
20.72,1
20.76,1
20.8,1
20.84,1
20.88,1
20.92,1
20.96,1
21.0,1
21.04,1
21.08,1
21.12,1
21.16,1
21.2,1
21.24,1
21.28,1
21.32,1
21.36,1
21.4,1
21.44,1
21.48,1
21.52,1
21.56,1
21.6,1
21.64,1
21.68,1
21.72,1
21.76,1
21.8,1
21.84,1
21.88,1
21.92,1
21.96,1
22.0,1
22.04,1
22.08,1
22.12,1
22.16,1
22.2,1
22.24,1
22.28,1
22.32,1
22.36,1
22.4,1
22.44,1
22.48,1
22.52,1
22.56,1
22.6,1
22.64,1
22.68,1
22.72,1
22.76,1
22.8,1
22.84,1
22.88,1
22.92,1
22.96,1
23.0,1
23.04,1
23.08,1
23.12,1
23.16,1
23.2,1
23.24,1
23.28,1
23.32,1
23.36,1
23.4,1
23.44,1
23.48,1
23.52,1
23.56,1
23.6,1
23.64,1
23.68,1
23.72,1
23.76,1
23.8,1
23.84,1
23.88,1
23.92,1
23.96,1
24.0,1
24.04,1
24.08,1
24.12,1
24.16,1
24.2,1
24.24,1
24.28,1
24.32,1
24.36,1
24.4,1
24.44,1
24.48,1
24.52,1
24.56,1
24.6,1
24.64,1
24.68,1
24.72,1
24.76,1
24.8,1
24.84,1
24.88,1
24.92,1
24.96,1
25.0,1
