SGTime,UnixTime,Acc_X,Acc_Y,Acc_Z,Acc_SVM
0.671624899,1636700179,-12,3,-63,64.20280368
0.859134912,1636700179,-15,11,-59,61.86275131
1.015384912,1636700179,-10,10,-56,57.75811631
1.046644688,1636700179,-5,10,-58,59.0677577
1.234144688,1636700179,-11,16,-56,59.27056605
1.265404701,1636700179,12,16,-39,43.829214
1.296654701,1636700180,9,12,-42,44.59820624
1.327904701,1636700180,6,16,-57,59.50630219
1.359154701,1636700180,0,12,-94,94.76286192
1.390404701,1636700180,-17,8,-99,100.7670581
1.421654701,1636700180,-21,10,-75,78.52388172
1.452904701,1636700180,-4,14,-62,63.68673331
1.484164715,1636700180,0,17,-64,66.21933252
1.515414715,1636700180,2,21,-65,68.33739825
1.546664715,1636700180,8,20,-64,67.52777206
1.577914715,1636700180,17,15,-65,68.84039512
1.609164715,1636700180,16,10,-66,68.64400921
1.796674728,1636700180,15,7,-62,64.17164483
1.952934742,1636700180,-2,21,-54,57.97413216
1.984184742,1636700180,-6,19,-55,58.49786321
2.171694756,1636700180,0,7,-65,65.37583651
2.359204769,1636700181,-3,10,-61,61.88699379
2.390454769,1636700181,-5,11,-62,63.16644679
2.421704769,1636700181,-5,12,-62,63.34824386
2.452954769,1636700181,-5,13,-62,63.54525946
2.484204769,1636700181,-3,13,-62,63.41923998
2.515454769,1636700181,-3,12,-62,63.22183167
2.546714783,1636700181,-4,11,-62,63.09516622
2.671714783,1636700181,0,11,-57,58.05170109
2.702964783,1636700181,3,12,-63,64.20280368
2.734214783,1636700181,3,12,-68,69.11584478
2.765474796,1636700181,2,12,-69,70.06425622
2.796724796,1636700181,1,10,-67,67.74953874
2.827974796,1636700181,2,9,-63,63.67102952
2.859224796,1636700181,4,8,-59,59.67411499
2.890474796,1636700181,3,8,-64,64.56779383
2.921724796,1636700181,2,8,-66,66.51315659
2.952974796,1636700181,3,10,-67,67.80855403
2.98423481,1636700181,2,11,-66,66.94027188
3.01548481,1636700181,-1,14,-62,63.5688603
3.04673481,1636700181,-9,18,-59,62.3377895
3.07798481,1636700181,-12,20,-57,61.58733636
3.10923481,1636700181,-11,20,-51,55.87486018
3.14048481,1636700181,-4,16,-48,50.75431016
3.17173481,1636700181,-4,16,-50,52.64978632
3.202994823,1636700181,-8,16,-58,60.69596362
3.234244823,1636700181,-9,16,-63,65.62011887
3.265494823,1636700181,-12,16,-72,74.72616677
3.296744823,1636700182,-16,14,-72,75.07329752
3.453004837,1636700182,-11,27,-66,72.15261603
3.484254837,1636700182,-10,28,-63,69.6634768
3.609254837,1636700182,-11,31,-46,56.55086206
3.640514851,1636700182,-12,32,-47,58.1119609
3.671764851,1636700182,-13,33,-49,60.48966854
3.828014851,1636700182,-16,29,-54,63.34824386
3.859274864,1636700182,-15,28,-56,64.38167441
4.015524864,1636700182,-9,20,-59,62.94441993
4.046774864,1636700182,-8,20,-59,62.80923499
4.234284878,1636700182,-24,28,-54,65.3911309
4.265544891,1636700182,-26,25,-55,65.77233461
4.296794891,1636700183,-19,26,-55,63.73382148
4.328044891,1636700183,-12,22,-57,62.2655603
4.359294891,1636700183,-12,17,-58,61.61980201
4.390544891,1636700183,-9,14,-56,58.42088668
4.421794891,1636700183,-3,12,-60,61.26173357
4.453044891,1636700183,-1,13,-67,68.25686779
4.484304905,1636700183,0,15,-76,77.46612163
4.515554905,1636700183,-1,15,-77,78.45380807
4.546804905,1636700183,-8,11,-70,71.30918594
4.578054905,1636700183,-19,3,-63,65.87108622
4.609304905,1636700183,-20,0,-64,67.05221846
4.76556468,1636700183,-44,7,-11,45.89117562
4.79681468,1636700183,-80,5,-2,80.18104514
4.82806468,1636700183,-76,2,-4,76.13146524
4.85931468,1636700183,-64,3,1,64.07807737
4.89056468,1636700183,-56,4,9,56.8594759
4.921824694,1636700183,-54,4,10,55.06359959
