SGTime,Performance
29.88076,1
30.02873,1
30.1683,1
30.30945,1
30.45448,1
30.59556,1
30.73529,1
30.87732,1
31.02516,1
31.1722,1
31.31551,1
31.45987,1
31.60551,1
31.74733,1
31.88724,1
32.03094,1
32.17471,1
32.31495,1
32.45568,1
32.59744,1
32.74473,1
32.89009,1
33.05334,1
33.19062,1
33.32742,1
33.46583,1
33.60376,1
33.74088,1
33.87972,1
34.02055,1
34.15995,1
34.29672,1
34.43699,1
34.57677,1
34.71618,1
34.85516,1
34.9944,1
35.13707,1
35.27626,1
35.41573,1
35.55697,1
35.70073,1
35.84399,1
35.9842,1
36.12637,1
36.26933,1
36.41105,1
36.55396,1
36.69772,1
36.85549,1
37.00017,1
37.14738,1
37.29201,1
37.43902,1
37.58662,1
37.733,1
37.90509,1
38.05347,1
38.20349,1
38.35076,1
38.49625,1
38.64378,1
38.79468,1
38.94848,1
39.10258,1
39.25148,1
39.40001,1
39.54748,1
39.69468,1
39.84431,1
39.99547,1
40.14651,1
40.30041,1
40.45163,1
40.60136,1
40.75589,1
40.90653,1
41.06261,1
41.22411,1
41.3911,1
41.55187,1
41.71515,1
41.88323,1
42.04348,1
42.2072,1
42.37577,1
42.54067,1
42.70467,1
42.86758,1
43.03676,1
43.22766,1
43.38946,1
43.55487,1
43.72077,1
43.88224,1
44.04499,1
44.20646,1
44.37294,1
44.53678,1
44.70396,1
44.87373,1
45.04309,1
45.21503,1
45.38628,1
45.55779,1
45.72834,1
45.8961,1
46.06385,1
46.23166,1
46.40163,1
46.57092,1
46.74416,1
46.91442,1
47.08948,1
47.25998,1
47.43419,1
47.61234,1
47.79082,1
47.96399,1
48.13676,1
48.3142,1
48.48479,1
48.65794,1
48.8568,1
49.03835,1
49.22036,1
49.39959,1
49.57522,1
49.75156,1
49.9264,1
50.099,1
50.27118,1
50.44228,1
50.61436,1
50.78609,1
50.95758,1
51.13493,1
51.31461,1
51.49655,1
51.67575,1
51.84703,1
52.02921,1
52.20544,1
52.3798,1
52.55792,1
52.74214,1
52.92482,1
53.10452,1
53.28189,1
53.45978,1
53.63528,1
53.81436,1
53.99897,1
54.18157,1
54.36317,1
54.54086,1
54.74414,1
54.9212,1
55.10096,1
55.27975,1
55.45601,1
55.64202,1
55.82711,1
56.01695,1
56.20351,1
56.38633,1
